date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2024-12-31,EW,1,0,0,0.0,0,10,success,0.0
2024-12-31,GMV,1,0,34,0.0010996659049287004,0,4,success,0.0007215560175717254
2024-12-31,CtR-only,1,238,2,1.953104384817045e-11,0,10,success,0.00016920550502590875
2024-12-31,MDP,1,300,2,0.15711132351088813,0,7,success,-1.7778190680043136
2024-12-31,CtB-only,1,300,2,0.03223206654799052,0,7,success,0.0027212109950125103
2024-12-31,Main,1,300,1,7.022738276769522e-11,0,10,success,0.011394899431742399
2025-01-31,EW,1,0,0,0.0,0,10,success,0.0
2025-01-31,GMV,1,0,34,0.001069209495539949,0,4,success,0.000720653482026294
2025-01-31,CtR-only,1,219,2,2.0140129677685115e-11,0,10,success,0.00016725198746586257
2025-01-31,MDP,1,300,1,0.14653248744660843,0,7,success,-1.7974549777002613
2025-01-31,CtB-only,1,300,2,0.028518774681945518,0,7,success,0.0024848785152343875
2025-01-31,Main,1,300,1,7.070142138137188e-11,0,10,success,0.011560964640924966
2025-02-28,EW,1,0,0,0.0,0,10,success,0.0
2025-02-28,GMV,1,0,29,0.0008172726258231742,0,4,success,0.0007064909668616375
2025-02-28,CtR-only,1,244,2,2.1451595251176402e-11,0,10,success,0.00017140081119543804
2025-02-28,MDP,1,300,2,0.1375601811694133,0,8,success,-1.813731911876373
2025-02-28,CtB-only,1,300,2,0.01681767736960894,0,8,success,0.0020827995715827176
2025-02-28,Main,1,300,2,5.326759311137736e-11,0,10,success,0.00881952984788106
2025-03-31,EW,1,0,0,0.0,0,10,success,0.0
2025-03-31,GMV,1,0,36,0.0006923175742838778,0,4,success,0.000709374316116182
2025-03-31,CtR-only,1,249,2,2.4796499001481874e-11,0,10,success,0.00017565482161146435
2025-03-31,MDP,1,300,2,0.12765072440958597,0,8,success,-1.83641045989576
2025-03-31,CtB-only,1,300,2,0.014929624415582687,0,8,success,0.0017610205241924796
2025-03-31,Main,1,300,2,7.990798028774514e-11,0,10,success,0.006635007021232686
2025-04-30,EW,1,0,0,0.0,0,10,success,0.0
2025-04-30,GMV,1,0,37,0.00039492454430709435,0,5,success,0.0015227303566798115
2025-04-30,CtR-only,1,233,1,1.4410836501380846e-06,1,10,success,0.0002801263961253927
2025-04-30,MDP,1,300,2,0.11085837317755612,0,8,success,-1.8788408256613214
2025-04-30,CtB-only,1,300,2,0.012861647196235653,0,8,success,0.002306444470386926
2025-04-30,Main,1,300,1,2.0790934056832624e-10,0,10,success,0.007453789666204054
